tau_hi,false hits,false-hit rate %,true hits,true-hit rate %,meets <2% target
0.70 (verifier on),42/45,93.3,12/21,57.1,no
0.75 (verifier on),38/45,84.4,11/21,52.4,no
0.80 (verifier on),32/45,71.1,10/21,47.6,no
0.85 (verifier on),23/45,51.1,9/21,42.9,no
0.90 (verifier on),4/45,8.9,8/21,38.1,no
0.92 (verifier on),2/45,4.4,8/21,38.1,no
0.95 (verifier on),0/45,0.0,7/21,33.3,yes
0.97 (verifier on),0/45,0.0,7/21,33.3,yes
0.99 (verifier on),0/45,0.0,7/21,33.3,yes
0.70 (verifier off),42/45,93.3,12/21,57.1,no
0.75 (verifier off),38/45,84.4,11/21,52.4,no
0.80 (verifier off),38/45,84.4,11/21,52.4,no
0.85 (verifier off),38/45,84.4,11/21,52.4,no
0.90 (verifier off),38/45,84.4,11/21,52.4,no
0.92 (verifier off),38/45,84.4,11/21,52.4,no
0.95 (verifier off),38/45,84.4,11/21,52.4,no
0.97 (verifier off),38/45,84.4,11/21,52.4,no
0.99 (verifier off),38/45,84.4,11/21,52.4,no
