cell,joules,tokens per joule,USD equivalent,vs baseline
baseline,17.4,2819.7,$0.0151,+0.0%
M5,16.7,2531.0,$0.0126,+4.5%
M3,13.9,3100.9,$0.0143,+20.5%
M3+M5,10.6,3463.5,$0.0117,+39.3%
M2,0.3,185267.9,$0.0147,+98.5%
M2+M5,0.3,136151.7,$0.0122,+98.3%
M2+M3,0.3,123813.9,$0.0139,+98.1%
M2+M3+M5,0.2,156482.3,$0.0113,+98.7%
M1,1.2,42175.4,$0.0151,+93.3%
M1+M5,1.1,38642.1,$0.0125,+93.8%
M1+M3,0.0,0.0,$0.0143,+100.0%
M1+M3+M5,0.0,0.0,$0.0117,+100.0%
M1+M2,0.2,208883.5,$0.0146,+98.7%
M1+M2+M5,0.3,157123.3,$0.0121,+98.5%
M1+M2+M3,0.3,140832.9,$0.0138,+98.3%
M1+M2+M3+M5,0.3,142021.8,$0.0113,+98.6%
M1+M2+M3+M5+M4+M6,22.0,1478.0,$0.0105,-26.0%
