method,items,correct,accuracy %,95% CI,context kept %,prompt tokens,prefill ms,wall ms,lost vs full,gained vs full,McNemar p
closed_book,45,1,2.2,0.4-11.6,0.0,61,458,4450,39,0,0.000
full,45,40,88.9,76.5-95.2,100.0,727,8389,11639,,,
parsimony,45,36,80.0,66.2-89.1,21.2,219,2382,5533,4,0,0.125
parsimony_neural,45,40,88.9,76.5-95.2,25.5,249,4094,5384,1,1,1.000
bm25_topk,45,32,71.1,56.6-82.3,21.0,216,2343,5427,10,2,0.039
truncate,45,14,31.1,19.5-45.7,19.7,197,2069,5522,27,1,0.000
random,45,6,13.3,6.3-26.2,20.8,227,2380,5751,34,0,0.000
stopwords,45,29,64.4,49.8-76.8,63.7,509,5621,8931,12,1,0.003
parsimony_no_anchors,45,37,82.2,68.7-90.7,22.4,228,2373,5464,3,0,0.250
parsimony_no_closure,45,36,80.0,66.2-89.1,20.5,215,2257,5335,5,1,0.219
parsimony_no_doc_prior,45,36,80.0,66.2-89.1,23.6,238,2539,5615,4,0,0.125
parsimony_no_floor,45,37,82.2,68.7-90.7,34.6,316,3340,6392,3,0,0.250
