cell,mean ms,95% CI,p95 ms,mean prefix tokens reused
baseline,2.90,"[2.63, 3.18]",8.25,1.3
M5,2.41,"[2.17, 2.67]",6.70,1.3
M3,3.00,"[2.62, 3.40]",10.27,1.3
M3+M5,2.68,"[2.37, 2.99]",8.40,1.3
M2,2.67,"[2.54, 2.80]",4.66,1.3
M2+M5,2.59,"[2.48, 2.71]",4.43,1.3
M2+M3,2.93,"[2.74, 3.12]",6.22,1.3
M2+M3+M5,2.83,"[2.67, 2.98]",5.27,1.3
M1,2.26,"[2.08, 2.44]",5.05,1.3
M1+M5,2.09,"[1.92, 2.25]",4.98,1.3
M1+M3,2.50,"[2.28, 2.72]",6.10,1.3
M1+M3+M5,2.44,"[2.24, 2.64]",5.58,1.3
M1+M2,3.31,"[3.11, 3.51]",6.59,1.3
M1+M2+M5,3.27,"[3.07, 3.46]",6.53,1.3
M1+M2+M3,3.53,"[3.31, 3.75]",6.62,1.3
M1+M2+M3+M5,3.44,"[3.24, 3.64]",6.48,1.3
M1+M2+M3+M5+M4+M6,4.63,"[4.25, 5.02]",10.45,17.9
