cell,input,input red %,output,output red %,total,reduction %,cache hits,tier 0,gate fires,early stops,middleware ms
baseline,31960,+0.00,17202,+0.00,49162,+0.0,0,0,0,0,3.65
M5,28431,+11.04,14149,+17.75,42580,+13.4,0,0,0,219,3.89
M3,25774,+19.36,17317,-0.67,43091,+12.3,0,0,0,0,18.22
M3+M5,23425,+26.71,14148,+17.75,37573,+23.6,0,0,0,219,17.89
M2,31599,+1.13,16442,+4.42,48041,+2.3,12,0,0,0,35.32
M2+M5,28070,+12.17,13501,+21.51,41571,+15.4,12,0,0,211,29.65
M2+M3,25413,+20.48,16557,+3.75,41970,+14.6,12,0,0,0,49.89
M2+M3+M5,23064,+27.83,13500,+21.52,36564,+25.6,12,0,0,211,52.20
M1,22976,+28.11,17059,+0.83,40035,+18.6,0,0,1,0,21.79
M1+M5,21793,+31.81,14045,+18.35,35838,+27.1,0,0,1,219,17.21
M1+M3,21511,+32.69,17374,-1.00,38885,+20.9,0,0,1,0,26.49
M1+M3+M5,20264,+36.60,14298,+16.88,34562,+29.7,0,0,1,219,25.05
M1+M2,22627,+29.20,16275,+5.39,38902,+20.9,12,0,1,0,51.23
M1+M2+M5,21444,+32.90,13374,+22.25,34818,+29.2,12,0,1,211,47.26
M1+M2+M3,21162,+33.79,16590,+3.56,37752,+23.2,12,0,1,0,61.37
M1+M2+M3+M5,19915,+37.69,13627,+20.78,33542,+31.8,12,0,1,211,62.17
M1+M2+M3+M5+M4+M6,17252,+46.02,12727,+26.01,29979,+39.0,12,15,1,206,64.42
