tau_hi,false hits,false-hit rate %,true hits,true-hit rate %,meets <2% target
0.70 (verifier on),0/45,0.0,13/45,28.9,yes
0.75 (verifier on),0/45,0.0,12/45,26.7,yes
0.80 (verifier on),0/45,0.0,12/45,26.7,yes
0.85 (verifier on),0/45,0.0,12/45,26.7,yes
0.90 (verifier on),0/45,0.0,12/45,26.7,yes
0.92 (verifier on),0/45,0.0,12/45,26.7,yes
0.95 (verifier on),0/45,0.0,12/45,26.7,yes
0.97 (verifier on),0/45,0.0,12/45,26.7,yes
0.99 (verifier on),0/45,0.0,12/45,26.7,yes
0.70 (verifier off),30/45,66.7,24/45,53.3,no
0.75 (verifier off),23/45,51.1,17/45,37.8,no
0.80 (verifier off),23/45,51.1,17/45,37.8,no
0.85 (verifier off),23/45,51.1,17/45,37.8,no
0.90 (verifier off),23/45,51.1,17/45,37.8,no
0.92 (verifier off),23/45,51.1,17/45,37.8,no
0.95 (verifier off),23/45,51.1,17/45,37.8,no
0.97 (verifier off),23/45,51.1,17/45,37.8,no
0.99 (verifier off),23/45,51.1,17/45,37.8,no
