cell,arithmetic,code,factual,follow_up,paraphrase,summarisation
baseline,+0.0,+0.0,+0.0,+0.0,+0.0,+0.0
M5,+16.3,+4.2,+11.9,+14.3,+11.5,+11.2
M3,+0.0,+0.0,+0.0,+17.1,+0.0,+0.0
M3+M5,+16.3,+4.2,+11.9,+28.3,+11.5,+11.2
M2,+0.0,+0.0,+0.0,+0.2,+42.3,+0.0
M2+M5,+16.3,+4.2,+11.9,+14.5,+49.3,+11.2
M2+M3,+0.0,+0.0,+0.0,+17.3,+42.3,+0.0
M2+M3+M5,+16.3,+4.2,+11.9,+28.5,+49.3,+11.2
M1,+0.0,+2.8,+1.1,+24.8,-0.5,+6.1
M1+M5,+16.3,+6.5,+13.0,+32.5,+11.1,+15.9
M1+M3,+0.0,+2.8,+1.1,+28.0,-0.5,+6.1
M1+M3+M5,+16.3,+6.5,+13.0,+36.1,+11.1,+15.9
M1+M2,+0.0,+2.8,+1.1,+25.0,+42.3,+6.1
M1+M2+M5,+16.3,+6.5,+13.0,+32.8,+49.3,+15.9
M1+M2+M3,+0.0,+2.8,+1.1,+28.2,+42.3,+6.1
M1+M2+M3+M5,+16.3,+6.5,+13.0,+36.3,+49.3,+15.9
M1+M2+M3+M5+M4+M6,+68.9,+20.8,+22.8,+39.7,+54.2,+22.1
