cell,J per generation,generations measured,tokens per joule,USD equivalent,vs baseline
baseline,0.050,176/88,3855.0,$0.0049,+0.0%
M5,0.053,176/88,3225.1,$0.0043,-7.4%
M3,0.380,176/88,421.3,$0.0045,-663.2%
M3+M5,0.387,176/88,373.8,$0.0040,-677.1%
M2,0.565,176/88,332.3,$0.0048,-1033.4%
M2+M5,0.682,176/88,247.1,$0.0042,-1269.6%
M2+M3,0.915,176/88,170.2,$0.0043,-1737.0%
M2+M3+M5,0.948,176/88,148.5,$0.0038,-1802.8%
M1,0.286,176/88,543.1,$0.0045,-473.2%
M1+M5,0.293,176/88,481.0,$0.0039,-487.2%
M1+M3,0.510,176/88,288.0,$0.0044,-924.3%
M1+M3+M5,0.522,176/88,254.1,$0.0038,-947.1%
M1+M2,0.898,176/88,167.8,$0.0043,-1702.6%
M1+M2+M5,0.903,176/88,151.5,$0.0037,-1712.1%
M1+M2+M3,1.027,176/88,138.9,$0.0042,-1960.5%
M1+M2+M3+M5,1.173,176/88,109.6,$0.0037,-2255.1%
M1+M2+M3+M5+M4+M6,1.161,176/88,99.6,$0.0034,-2230.0%
