method,items,context kept %,evidence kept,evidence kept %
full,45,100.0,45/45,100.0
parsimony,45,25.5,44/45,97.8
parsimony_v1,45,25.5,44/45,97.8
parsimony_v2,45,27.2,44/45,97.8
parsimony_neural,45,25.5,44/45,97.8
parsimony_no_anchors,45,26.9,44/45,97.8
parsimony_no_closure,45,24.6,44/45,97.8
parsimony_no_doc_prior,45,27.3,44/45,97.8
parsimony_no_mmr,45,26.2,44/45,97.8
parsimony_no_floor,45,35.9,44/45,97.8
bm25_topk,45,25.2,41/45,91.1
truncate,45,24.0,12/45,26.7
random,45,24.9,7/45,15.6
stopwords,45,63.7,n/a,n/a
closed_book,45,0.0,0/45,0.0
