cell,mean ms,95% CI,p95 ms,mean prefix tokens reused
baseline,3.04,"[2.77, 3.31]",6.72,1.4
M5,2.91,"[2.68, 3.15]",5.67,1.4
M3,25.03,"[20.97, 29.16]",70.66,1.4
M3+M5,25.06,"[21.02, 28.95]",69.96,1.4
M2,37.37,"[36.01, 38.71]",50.03,1.4
M2+M5,44.72,"[42.74, 46.74]",68.75,1.4
M2+M3,60.74,"[56.73, 64.69]",104.40,1.4
M2+M3+M5,62.53,"[57.96, 67.30]",114.54,1.4
M1,18.77,"[15.02, 22.70]",78.56,1.4
M1+M5,18.84,"[14.91, 22.64]",80.43,1.4
M1+M3,33.73,"[28.76, 38.49]",84.63,1.4
M1+M3+M5,34.06,"[29.17, 39.27]",87.26,1.4
M1+M2,59.59,"[54.37, 64.72]",130.16,1.4
M1+M2+M5,59.45,"[53.67, 65.27]",144.05,1.4
M1+M2+M3,68.15,"[62.83, 73.44]",130.88,1.4
M1+M2+M3+M5,77.43,"[70.76, 84.07]",165.13,1.4
M1+M2+M3+M5+M4+M6,76.56,"[69.65, 83.38]",158.81,11.7
