cell,embedding sim %,token overlap %,judge %,judge disagreement %,gold correct,gold %
baseline,ref,ref,ref,-,2/40,5.0
M5,86.9,79.9,ref,-,2/40,5.0
M3,91.0,88.8,ref,-,2/40,5.0
M3+M5,86.3,79.6,ref,-,2/40,5.0
M2,99.4,99.2,ref,-,2/40,5.0
M2+M5,86.4,79.4,ref,-,2/40,5.0
M2+M3,90.4,88.0,ref,-,2/40,5.0
M2+M3+M5,85.8,79.1,ref,-,2/40,5.0
M1,90.2,88.7,ref,-,2/40,5.0
M1+M5,84.9,77.8,ref,-,2/40,5.0
M1+M3,87.2,84.5,ref,-,2/40,5.0
M1+M3+M5,84.4,78.2,ref,-,2/40,5.0
M1+M2,90.0,88.3,ref,-,2/40,5.0
M1+M2+M5,84.7,77.5,ref,-,2/40,5.0
M1+M2+M3,87.0,84.2,ref,-,2/40,5.0
M1+M2+M3+M5,84.2,78.0,ref,-,2/40,5.0
M1+M2+M3+M5+M4+M6,66.5,60.1,ref,-,14/40,35.0
