cell,embedding sim %,token overlap %,judge %,judge disagreement %,gold correct,gold %
baseline,ref,ref,ref,-,2/40,5.0
M5,90.6,78.8,11.0,4,2/40,5.0
M3,92.9,88.9,54.0,73,2/40,5.0
M3+M5,91.3,79.3,14.8,4,2/40,5.0
M2,99.6,99.5,50.0,98,2/40,5.0
M2+M5,90.3,78.5,11.0,4,2/40,5.0
M2+M3,92.6,88.4,54.0,71,2/40,5.0
M2+M3+M5,91.0,79.1,14.8,4,2/40,5.0
M1,98.6,97.9,49.6,95,2/40,5.0
M1+M5,89.6,77.7,12.2,4,2/40,5.0
M1+M3,91.5,86.8,53.6,68,2/40,5.0
M1+M3+M5,90.3,78.2,16.0,4,2/40,5.0
M1+M2,98.2,97.6,49.8,94,2/40,5.0
M1+M2+M5,89.3,77.4,12.2,4,2/40,5.0
M1+M2+M3,91.2,86.4,53.8,67,2/40,5.0
M1+M2+M3+M5,90.0,78.0,16.0,4,2/40,5.0
M1+M2+M3+M5+M4+M6,74.5,60.7,20.7,4,14/40,35.0
